Input Entity,Entity Type,Resolved Name,InChIKey,InChIKey Link,SMILES,SMILES Link,PubChem CID,PubChem Link,ChEMBL ID,ChEMBL Link,ChemSpider ID,ChemSpider Link,RefSeq,GenBank,GenBank Link,Gene Link,Protein Link,Ensembl,Ensembl Link,UniProt,UniProt Link,CCDS,InterPro,InterPro Link,Validation Issues,KEGG
SCO1,chemical,sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/NINIDFKCEFEMDL-UHFFFAOYSA-N,[S],https://pubchem.ncbi.nlm.nih.gov/compound/5362487,5362487,https://pubchem.ncbi.nlm.nih.gov/compound/5362487,CHEMBL4459474,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4459474/,,,,,,,,,,,,,,,,
tumor protien p53,protein,p53 protein,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987573653,,,P04637,https://www.uniprot.org/uniprot/P04637,,cd08367,https://www.ebi.ac.uk/interpro/entry/InterPro/cd08367/,,
cycln dependent kinase 2,protein,Cyclin-dependent kinase 2,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989716412,,,P24941,https://www.uniprot.org/uniprot/P24941,,cd07860,https://www.ebi.ac.uk/interpro/entry/InterPro/cd07860/,,
inslin receptor,protein,Insulin Receptor,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989373168,,,P06213,https://www.uniprot.org/uniprot/P06213,,cd00063,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00063/,,
epidrmal growth factor,protein,Epidermal Growth Factor,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2904987373,,,P01133,https://www.uniprot.org/uniprot/P01133,,cd00054,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00054/,,
myelin basic protien,protein,Myelin Basic Protein,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987568821,,,P02686,https://www.uniprot.org/uniprot/P02686,,IPR000548,https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000548/,,
hemogloben beta,protein,Hemoglobin beta,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2988666951,,,P68871,https://www.uniprot.org/uniprot/P68871,,cd08925,https://www.ebi.ac.uk/interpro/entry/InterPro/cd08925/,,
glucose transprter 4,protein,Glucose Transporter 4 (GLUT4),,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2967774388,,,P14672,https://www.uniprot.org/uniprot/P14672,,cd17431,https://www.ebi.ac.uk/interpro/entry/InterPro/cd17431/,,
transfrrin,protein,**transferrin**,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989198820,,,Q9UP52,https://www.uniprot.org/uniprot/Q9UP52,,cd02128,https://www.ebi.ac.uk/interpro/entry/InterPro/cd02128/,,
interluekin 6,protein,Interleukin-6,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2859746277,,,P26892,https://www.uniprot.org/uniprot/P26892,,G3DSA:1.20.1250.10,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:1.20.1250.10/,,
